List A,List B,Merged
"[806, 324, 885, 545]","[1649, 2107, 1858, 2209]","[806, 324, 1858, 2209]"
"[821, 1501, 867, 1639]","[2529, 1053, 2616, 1136]","[821, 1053, 2616, 1639]"
"[2636, 2241, 2773, 2318]","[2190, 2239, 2347, 2317]","[2190, 2239, 2773, 2318]"
"[1646, 886, 1850, 964]","[550, 334, 655, 547]","[550, 334, 1850, 964]"
"[2112, 884, 2318, 964]","[1232, 1998, 1401, 2077]","[1232, 884, 2318, 2077]"
"[1649, 1876, 1855, 1955]","[441, 1494, 520, 1637]","[441, 1494, 1855, 1955]"
"[2188, 2115, 2275, 2198]","[3469, 705, 3639, 783]","[2188, 705, 3639, 2198]"
"[687, 1483, 765, 1640]","[685, 337, 765, 548]","[685, 337, 765, 1640]"
"[582, 1501, 626, 1637]","[2636, 2111, 2839, 2209]","[582, 1501, 2839, 2209]"
"[1646, 1010, 1819, 1087]","[1228, 2118, 1400, 2196]","[1228, 1010, 1819, 2196]"
"[1648, 1996, 1821, 2077]","[2790, 1401, 2901, 1495]","[1648, 1401, 2901, 2077]"
"[1594, 742, 1704, 819]","[1046, 2510, 1168, 2608]","[1046, 742, 1704, 2608]"
"[1180, 1299, 1359, 1348]","[2321, 496, 2464, 576]","[1180, 496, 2464, 1348]"
"[1543, 2510, 1663, 2607]","[3210, 1043, 3411, 1120]","[1543, 1043, 3411, 2607]"
"[1593, 861, 1811, 940]","[2793, 1164, 2964, 1243]","[1593, 861, 2964, 1243]"
"[1593, 496, 1719, 572]","[606, 2391, 714, 2487]","[606, 496, 1719, 2487]"
"[2147, 1390, 2227, 1535]","[1593, 607, 1789, 708]","[1593, 607, 2227, 1535]"
"[1178, 1042, 1392, 1122]","[2319, 740, 2497, 819]","[1178, 740, 2497, 1122]"
"[1049, 2271, 1191, 2355]","[1539, 2052, 1691, 2210]","[1049, 2052, 1691, 2355]"
"[3208, 1279, 3412, 1370]","[2323, 1042, 2482, 1119]","[2323, 1042, 3412, 1370]"
"[1021, 1839, 1234, 1939]","[606, 2032, 808, 2111]","[606, 1839, 1234, 2111]"
"[2325, 610, 2547, 702]","[607, 2149, 782, 2235]","[607, 610, 2547, 2235]"
"[2792, 1039, 2994, 1124]","[1178, 1164, 1397, 1244]","[1178, 1039, 2994, 1244]"
"[1395, 2394, 1447, 2474]","[3141, 1408, 3209, 1476]","[1395, 1408, 3209, 2474]"
"[2724, 1293, 2781, 1365]","[2083, 973, 2172, 1023]","[2083, 973, 2781, 1365]"
"[541, 2283, 591, 2357]","[3154, 1139, 3205, 1263]","[541, 1139, 3205, 2357]"
"[2464, 1717, 2534, 1786]","[3399, 1303, 3473, 1376]","[2464, 1303, 3473, 1786]"
"[1897, 399, 1962, 462]","[750, 1672, 813, 1734]","[750, 399, 1962, 1734]"
"[2465, 752, 2517, 832]","[2985, 1599, 3056, 1669]","[2465, 752, 3056, 1669]"
"[1111, 1792, 1177, 1858]","[2477, 1445, 2524, 1573]","[1111, 1445, 2524, 1858]"
"[2034, 1720, 2108, 1790]","[2994, 1394, 3050, 1531]","[2034, 1394, 3050, 1790]"
"[2985, 1300, 3042, 1378]","[750, 1304, 793, 1378]","[750, 1300, 3042, 1378]"
"[746, 1126, 794, 1215]","[2466, 398, 2532, 460]","[746, 398, 2532, 1215]"
"[746, 938, 793, 1014]","[2477, 610, 2525, 737]","[746, 610, 2525, 1014]"
"[1729, 869, 1806, 917]","[2466, 937, 2518, 1013]","[1729, 869, 2518, 1013]"
"[2464, 1587, 2521, 1668]","[749, 399, 814, 464]","[749, 399, 2521, 1668]"
"[1319, 397, 1386, 463]","[1158, 870, 1234, 918]","[1158, 397, 1386, 918]"
"[1124, 1520, 1171, 1651]","[1902, 611, 1953, 737]","[1124, 611, 1953, 1651]"
"[2300, 867, 2382, 918]","[1909, 514, 1947, 590]","[1909, 514, 2382, 918]"
"[1893, 756, 1943, 830]","[1114, 1663, 1162, 1745]","[1114, 756, 1943, 1745]"
"[1320, 516, 1371, 586]","[1322, 757, 1369, 830]","[1320, 516, 1371, 830]"
"[766, 1548, 799, 1625]","[1758, 606, 805, 740]","[766, 606, 805, 1625]"
"[1330, 611, 1378, 739]","[760, 1399, 805, 1526]","[760, 611, 1378, 1526]"
"[851, 2414, 922, 2489]","[2519, 693, 2588, 789]","[851, 693, 2588, 2489]"
"[1265, 1926, 1338, 2005]","[1321, 694, 1387, 790]","[1265, 694, 1387, 2005]"
"[2515, 1614, 2591, 1689]","[829, 2022, 977, 2150]","[829, 1614, 2591, 2150]"
"[2349, 1172, 2444, 1236]","[1784, 1616, 1858, 1691]","[1784, 1172, 2444, 1691]"
"[1542, 2395, 1731, 2475]","[3207, 1408, 3353, 1486]","[1542, 1408, 3353, 2475]"
"[2789, 1284, 2968, 1365]","[2092, 740, 2169, 961]","[2092, 740, 2968, 1365]"
"[606, 2275, 772, 2354]","[3211, 1166, 3383, 1244]","[606, 1166, 3383, 2354]"
"[2532, 1705, 2650, 1807]","[3465, 1292, 3580, 1391]","[2532, 1292, 3580, 1807]"
"[1959, 388, 2097, 469]","[810, 1659, 923, 1755]","[810, 388, 2097, 1755]"
"[2535, 773, 2663, 818]","[3056, 1596, 3187, 1680]","[2535, 773, 3187, 1680]"
"[1253, 1778, 1376, 1879]","[2528, 1468, 2671, 1553]","[1253, 1468, 2671, 1879]"
"[2218, 1708, 2339, 1808]","[3053, 1422, 3189, 1505]","[2218, 1422, 3189, 1808]"
"[3053, 1319, 3181, 1364]","[812, 1319, 940, 1363]","[812, 1319, 3181, 1364]"
"[817, 775, 942, 817]","[815, 1137, 976, 1183]","[815, 775, 976, 1183]"
"[2529, 398, 2696, 461]","[815, 954, 942, 998]","[815, 398, 2696, 998]"
"[2532, 634, 2674, 717]","[1747, 720, 1791, 854]","[1747, 634, 2674, 854]"
"[2530, 953, 2660, 1003]","[2529, 1612, 2659, 1653]","[2529, 953, 2660, 1653]"
"[809, 388, 952, 466]","[1385, 390, 1525, 468]","[809, 388, 1525, 468]"
"[1174, 720, 1219, 859]","[1255, 1545, 1393, 1626]","[1174, 720, 1393, 1626]"
"[1959, 634, 2100, 716]","[2320, 723, 2365, 857]","[1959, 634, 2365, 857]"
"[1957, 530, 2088, 572]","[1960, 774, 2090, 818]","[1957, 530, 2090, 818]"
"[1254, 1685, 1378, 1734]","[1383, 531, 1530, 572]","[1254, 531, 1530, 1734]"
"[1387, 773, 1518, 816]","[811, 1562, 946, 1608]","[811, 773, 1518, 1608]"
"[814, 633, 956, 715]","[1383, 634, 1532, 715]","[814, 633, 1532, 715]"
"[814, 1421, 956, 1504]","[991, 2403, 1116, 2502]","[814, 1421, 1116, 2502]"
"[2583, 692, 2754, 787]","[1335, 1921, 1442, 2013]","[1335, 692, 2754, 2013]"
"[1385, 692, 1553, 789]","[2583, 1607, 2690, 1704]","[1385, 692, 2690, 1704]"
"[993, 2004, 1154, 2050]","[2371, 1032, 2417, 1163]","[993, 1032, 2417, 2050]"
"[1856, 1609, 1963, 1701]","[1385, 480, 1546, 524]","[1385, 480, 1963, 1701]"
"[1319, 1065, 1385, 1173]","[2527, 559, 2580, 684]","[1319, 559, 2580, 1173]"
"[1314, 1615, 1388, 1692]","[844, 2138, 927, 2282]","[844, 1615, 1388, 2282]"
"[2518, 465, 2578, 557]","[1315, 1245, 1383, 1331]","[1315, 465, 2578, 1331]"
"[2511, 1241, 2585, 1332]","[742, 1243, 806, 1333]","[742, 1241, 2585, 1333]"
"[1786, 1497, 1850, 1601]","[1784, 1247, 1844, 1330]","[1784, 1247, 1850, 1601]"
"[1328, 1342, 1383, 1481]","[2515, 1496, 2575, 1576]","[1328, 1342, 2575, 1576]"
"[1316, 820, 1380, 903]","[847, 2287, 913, 2374]","[847, 820, 1380, 2374]"
"[1795, 1341, 1851, 1479]","[1318, 1492, 1384, 1578]","[1318, 1341, 1851, 1578]"
"[2512, 824, 2576, 908]","[1327, 920, 1383, 1053]","[1327, 824, 2576, 1053]"
"[2515, 1068, 2577, 1149]","[2522, 1341, 2585, 1478]","[2515, 1068, 2585, 1478]"
"[2525, 919, 2582, 1052]","[1328, 557, 1381, 687]","[1328, 557, 2582, 1052]"
"[855, 1778, 916, 1844]","[2465, 1843, 2536, 1914]","[855, 1778, 2536, 1914]"
"[2100, 1722, 2170, 1790]","[436, 1601, 487, 1700]","[436, 1601, 2170, 1790]"
"[2465, 830, 2518, 910]","[2051, 297, 2117, 359]","[2051, 297, 2518, 910]"
"[2475, 1569, 2528, 1706]","[2099, 1604, 2156, 1697]","[2099, 1569, 2528, 1706]"
"[437, 1723, 502, 1791]","[2829, 1602, 2885, 1698]","[437, 1602, 2885, 1791]"
"[231, 294, 293, 355]","[2830, 1351, 2881, 1431]","[231, 294, 2881, 1431]"
"[1320, 1349, 1372, 1434]","[2052, 653, 2102, 730]","[1320, 653, 2102, 1434]"
"[2838, 1451, 2893, 1584]","[227, 412, 278, 509]","[227, 412, 2893, 1584]"
"[1327, 1448, 1382, 1585]","[225, 647, 278, 735]","[225, 647, 1382, 1585]"
"[852, 1348, 905, 1429]","[1881, 766, 1962, 815]","[852, 766, 1962, 1429]"
"[2466, 1175, 2519, 1250]","[224, 829, 278, 912]","[224, 829, 2519, 1250]"
"[435, 1181, 485, 1251]","[2465, 1716, 2517, 1797]","[435, 1181, 2517, 1797]"
"[786, 768, 867, 817]","[865, 1623, 906, 1753]","[786, 768, 906, 1753]"
"[2475, 930, 2526, 1066]","[2060, 504, 2108, 633]","[2060, 504, 2526, 1066]"
"[1388, 1089, 1544, 1132]","[2585, 582, 2692, 660]","[1388, 582, 2692, 1132]"
"[1385, 1605, 1494, 1705]","[995, 2173, 1100, 2251]","[995, 1605, 1494, 2251]"
"[2585, 479, 2747, 522]","[1388, 1269, 1516, 1314]","[1388, 479, 2747, 1314]"
"[2585, 1268, 2714, 1312]","[812, 1270, 940, 1313]","[812, 1268, 2714, 1313]"
"[1858, 1509, 2015, 1553]","[1857, 1269, 1979, 1310]","[1857, 1269, 2015, 1553]"
"[1384, 1371, 1527, 1452]","[2582, 1511, 2733, 1554]","[1384, 1371, 2733, 1554]"
"[1387, 843, 1515, 884]","[989, 2308, 1118, 2352]","[989, 843, 1515, 2352]"
"[1854, 1372, 1997, 1453]","[1381, 1512, 1518, 1554]","[1381, 1372, 1997, 1554]"
"[2580, 844, 2728, 884]","[1383, 947, 1529, 1026]","[1383, 844, 2728, 1026]"
"[2586, 1084, 2728, 1130]","[2585, 1372, 2728, 1452]","[2585, 1084, 2728, 1452]"
"[2585, 945, 2727, 1027]","[1386, 580, 1494, 660]","[1386, 580, 2727, 1027]"
"[913, 1762, 1042, 1851]","[2607, 1833, 2735, 1932]","[913, 1762, 2735, 1932]"
"[2170, 1714, 2275, 1808]","[498, 1586, 717, 1686]","[498, 1586, 2275, 1808]"
"[2531, 833, 2743, 913]","[2113, 288, 2251, 363]","[2113, 288, 2743, 913]"
"[2608, 1602, 2751, 1679]","[2168, 1589, 2377, 1685]","[2168, 1589, 2751, 1685]"
"[503, 1713, 607, 1808]","[2899, 1590, 3099, 1684]","[503, 1590, 3099, 1808]"
"[289, 289, 417, 366]","[2898, 1356, 3097, 1435]","[289, 289, 3097, 1435]"
"[1385, 1353, 1585, 1436]","[2118, 649, 2329, 731]","[1385, 649, 2329, 1436]"
"[2898, 1475, 3063, 1555]","[294, 404, 496, 495]","[294, 404, 3063, 1555]"
"[1383, 1475, 1557, 1555]","[295, 649, 507, 733]","[295, 649, 1557, 1555]"
"[917, 1353, 1077, 1432]","[1886, 529, 1965, 751]","[917, 529, 1965, 1432]"
"[2528, 1162, 2730, 1258]","[294, 834, 500, 912]","[294, 834, 2730, 1258]"
"[501, 1171, 672, 1252]","[2610, 1718, 2771, 1797]","[501, 1171, 2771, 1797]"
"[791, 535, 872, 751]","[913, 1652, 1055, 1731]","[791, 535, 1055, 1731]"
"[2529, 955, 2702, 1036]","[2109, 531, 2293, 611]","[2109, 531, 2702, 1036]"
"[855, 1535, 917, 1601]","[2068, 410, 2104, 487]","[855, 410, 2104, 1601]"
"[2831, 1722, 2896, 1788]","[1334, 1596, 1373, 1677]","[1334, 1596, 2896, 1788]"
"[2099, 1345, 2154, 1434]","[1320, 1721, 1386, 1791]","[1320, 1345, 2154, 1791]"
"[832, 1444, 900, 1518]","[438, 1346, 483, 1430]","[438, 1346, 900, 1518]"
"[444, 1451, 491, 1578]","[2108, 1449, 2165, 1582]","[444, 1449, 2165, 1582]"
"[1478, 2297, 1542, 23621]","[2468, 2297, 2530, 2362]","[1478, 2297, 2530, 23621]"
"[1062, 1883, 1127, 1949]","[3300, 1883, 3369, 1946]","[1062, 1883, 3369, 1949]"
"[2728, 1379, 2791, 1439]","[1168, 1376, 1229, 1439]","[1168, 1376, 2791, 1439]"
"[2934, 2226, 3003, 2321]","[3143, 1255, 3210, 1322]","[2934, 1255, 3210, 2321]"
"[697, 1256, 761, 1321]","[1174, 1103, 1223, 1231]","[697, 1103, 1223, 1321]"
"[1903, 1970, 1952, 2104]","[1895, 347, 1959, 409]","[1895, 347, 1959, 2104]"
"[696, 1133, 748, 1229]","[1894, 2244, 1959, 2309]","[696, 1133, 1959, 2309]"
"[1893, 881, 1943, 962]","[2467, 1872, 2517, 1955]","[1893, 881, 2517, 1955]"
"[1893, 703, 1944, 788]","[3144, 881, 3197, 970]","[1893, 703, 3197, 970]"
"[1491, 2144, 1531, 2276]","[2737, 1108, 2785, 1222]","[1491, 1108, 2785, 2276]"
"[2478, 2146, 2521, 2270]","[699, 881, 746, 971]","[699, 881, 2521, 2270]"
"[708, 986, 753, 1112]","[1894, 2124, 1946, 2215]","[708, 986, 1946, 2215]"
"[1892, 1871, 1945, 1962]","[2727, 1252, 2778, 1336]","[1892, 1252, 2778, 1962]"
"[2468, 2055, 2532, 2120]","[1482, 2057, 1545, 2124]","[1482, 2055, 2532, 2124]"
"[1907, 555, 1953, 676]","[3152, 985, 3201, 1112]","[1907, 555, 3201, 1112]"
"[1167, 1254, 1214, 1336]","[2448, 1973, 2512, 2042]","[1167, 1254, 2512, 2042]"
"[1455, 1970, 1522, 2042]","[1478, 1872, 1523, 1963]","[1455, 1872, 1523, 2042]"
"[2946, 2053, 2993, 2170]","[699, 1866, 745, 1957]","[699, 1866, 2993, 2170]"
"[1892, 1698, 1941, 1785]","[3142, 1129, 3196, 1216]","[1892, 1129, 3196, 1785]"
"[1165, 409, 1235, 530]","[2149, 1061, 2217, 1128]","[1165, 409, 2217, 1128]"
"[2116, 398, 2340, 494]","[2896, 1720, 3038, 1799]","[2116, 398, 3038, 1799]"
"[1384, 1587, 1589, 1687]","[2166, 1352, 2377, 1434]","[1384, 1352, 2377, 1687]"
"[1381, 1717, 1522, 1799]","[919, 1468, 1054, 1490]","[919, 1468, 1522, 1799]"
"[500, 1354, 706, 1434]","[497, 1475, 674, 1557]","[497, 1354, 706, 1557]"
"[2163, 1475, 2342, 1558]","[1542, 2284, 1664, 2379]","[1542, 1475, 2342, 2379]"
"[2531, 2285, 2653, 2380]","[1120, 1865, 1235, 1961]","[1120, 1865, 2653, 2380]"
"[3365, 1868, 3475, 1962]","[2791, 1367, 2914, 1455]","[2791, 1367, 3475, 1962]"
"[1229, 1363, 1351, 1459]","[2998, 2220, 3321, 2350]","[1229, 1363, 3321, 2350]"
"[3206, 1247, 3316, 1343]","[758, 1251, 867, 1342]","[758, 1247, 3316, 1343]"
"[1230, 1130, 1373, 1212]","[1956, 1997, 2124, 2077]","[1230, 1130, 2124, 2077]"
"[1958, 345, 2123, 408]","[760, 1122, 972, 1219]","[760, 345, 2123, 1219]"
"[1958, 2239, 2100, 2318]","[1958, 888, 2175, 967]","[1958, 888, 2175, 2318]"
"[2530, 1877, 2691, 1955]","[1957, 705, 2171, 785]","[1957, 705, 2691, 1955]"
"[3204, 884, 3408, 964]","[1539, 2171, 1681, 2249]","[1539, 884, 3408, 2249]"
"[2794, 1126, 2934, 1209]","[2529, 2171, 2671, 2249]","[2529, 1126, 2934, 2249]"
"[760, 884, 961, 964]","[760, 1007, 932, 1089]","[760, 884, 961, 1089]"
"[1955, 2117, 2130, 2195]","[1953, 1876, 2160, 1955]","[1953, 1876, 2160, 2195]"
"[2793, 1249, 2948, 1327]","[2530, 2030, 2712, 2146]","[2530, 1249, 2948, 2146]"
"[1537, 2029, 1720, 2144]","[1960, 582, 2169, 663]","[1537, 582, 2169, 2144]"
"[3209, 1006, 3382, 1089]","[1228, 1251, 1384, 1328]","[1228, 1006, 3382, 1328]"
"[2531, 1988, 2667, 2011]","[1542, 1987, 1680, 2013]","[1542, 1987, 2667, 2013]"
"[1542, 1877, 1702, 1954]","[3002, 2071, 3144, 2152]","[1542, 1877, 3144, 2152]"
"[759, 1864, 980, 1964]","[1956, 1683, 2154, 1779]","[759, 1683, 2154, 1964]"
"[3206, 1122, 3418, 1217]","[1230, 433, 1330, 513]","[1230, 433, 3418, 1217]"
"[2224, 1841, 2294, 1908]","[1067, 1753, 1142, 1807]","[1067, 1753, 2294, 1908]"
"[708, 2106, 769, 2168]","[3181, 749, 3253, 814]","[708, 749, 3253, 2168]"
"[1067, 2120, 1143, 2174]","[1069, 660, 1140, 709]","[1067, 660, 1143, 2174]"
"[710, 1742, 771, 1805]","[709, 650, 770, 709]","[709, 650, 771, 1805]"
"[2150, 1493, 2216, 1556]","[1066, 2483, 1144, 2537]","[1066, 1493, 2216, 2537]"
"[707, 2468, 772, 2536]","[2627, 2276, 2709, 2325]","[707, 2276, 2709, 2536]"
"[1072, 1027, 1140, 1078]","[1068, 1394, 1140, 1441]","[1068, 1027, 1140, 1441]"
"[2811, 246, 2888, 296]","[831, 1754, 923, 1802]","[831, 246, 2888, 1802]"
"[712, 1379, 770, 1439]","[2625, 769, 2706, 815]","[712, 769, 2706, 1439]"
"[2481, 756, 2614, 801]","[2337, 1861, 2415, 1913]","[2337, 756, 2614, 1913]"
"[920, 2476, 1050, 2527]","[3182, 233, 3251, 293]","[920, 233, 3251, 2527]"
"[724, 1013, 782, 1074]","[3051, 250, 3131, 293]","[724, 250, 3131, 1074]"
"[2912, 757, 3036, 801]","[828, 2118, 902, 2152]","[828, 757, 3036, 2152]"
"[2262, 1079, 2343, 1129]","[2363, 1070, 2494, 1116]","[2262, 1070, 2494, 1129]"
"[2910, 237, 3040, 284]","[2319, 2262, 2382, 2323]","[2319, 237, 3040, 2323]"
"[922, 2113, 1053, 2161]","[826, 1390, 898, 1440]","[826, 1390, 1053, 2161]"
"[929, 1747, 1051, 1795]","[928, 1017, 1053, 1065]","[928, 1017, 1053, 1795]"
"[2440, 1853, 2563, 1901]","[2483, 2266, 2611, 2320]","[2440, 1853, 2611, 2320]"
"[922, 656, 1054, 702]","[2415, 2259, 2487, 2325]","[922, 656, 2487, 2325]"
"[2485, 1392, 2607, 1618]","[922, 1385, 1050, 1432]","[922, 1385, 2607, 1618]"
"[821, 2482, 899, 2535]","[830, 1028, 893, 1076]","[821, 1028, 899, 2535]"
"[821, 665, 900, 711]","[3296, 502, 3369, 569]","[821, 502, 3369, 711]"
"[2260, 2141, 2324, 2206]","[1842, 2064, 1906, 2132]","[1842, 2064, 2324, 2206]"
"[1322, 555, 1387, 618]","[2519, 970, 2591, 1040]","[1322, 555, 2591, 1040]"
"[804, 2141, 863, 2206]","[907, 482, 971, 548]","[804, 482, 971, 2206]"
"[2207, 1720, 2306, 1845]","[1084, 1610, 1128, 1744]","[1084, 1610, 2306, 1845]"
"[691, 1994, 793, 2106]","[3183, 592, 3245, 737]","[691, 592, 3245, 2106]"
"[1083, 1969, 1126, 2105]","[1083, 510, 1129, 648]","[1083, 510, 1129, 2105]"
"[691, 1627, 794, 1740]","[692, 537, 790, 648]","[691, 537, 794, 1740]"
"[2134, 1250, 2232, 1376]","[1083, 2332, 1127, 2471]","[1083, 1250, 2232, 2471]"
"[691, 2356, 792, 2470]","[2628, 2061, 2711, 2263]","[691, 2061, 2711, 2470]"
"[1084, 874, 1128, 1008]","[1084, 1243, 1128, 1373]","[1084, 874, 1128, 1373]"
"[2827, 96, 2873, 234]","[813, 1515, 911, 1740]","[813, 96, 2873, 1740]"
"[688, 1263, 790, 1377]","[2628, 535, 2707, 749]","[688, 535, 2707, 1377]"
"[2507, 550, 2591, 753]","[2340, 1688, 2421, 1844]","[2340, 550, 2591, 1844]"
"[944, 2286, 1025, 2474]","[3177, 84, 3255, 238]","[944, 84, 3255, 2474]"
"[690, 901, 793, 1014]","[3074, 92, 3118, 229]","[690, 92, 3118, 1014]"
"[2929, 544, 3013, 754]","[812, 1876, 911, 2095]","[812, 544, 3013, 2095]"
"[2265, 897, 2341, 1064]","[2390, 914, 2467, 1066]","[2265, 897, 2467, 1066]"
"[2937, 79, 3011, 232]","[2314, 2112, 2391, 2265]","[2314, 79, 3011, 2265]"
"[942, 1922, 1026, 2112]","[824, 1212, 904, 1377]","[824, 1212, 1026, 2112]"
"[945, 1559, 1027, 1742]","[945, 829, 1025, 1013]","[945, 829, 1027, 1742]"
"[2463, 1699, 2543, 1846]","[2510, 2087, 2589, 2266]","[2463, 1699, 2589, 2266]"
"[948, 468, 1024, 650]","[2426, 2168, 2471, 2262]","[948, 468, 2471, 2262]"
"[2532, 1215, 2682, 1383]","[943, 1204, 1026, 1383]","[943, 1204, 2682, 1383]"
"[822, 2279, 904, 2471]","[840, 833, 889, 1016]","[822, 833, 904, 2471]"
"[823, 439, 907, 650]","[3362, 488, 3473, 581]","[823, 439, 3473, 650]"
"[2323, 2130, 2434, 2220]","[1902, 2051, 2026, 2153]","[1902, 2051, 2434, 2220]"
"[1383, 540, 1506, 636]","[2584, 956, 2693, 1046]","[1383, 540, 2693, 1046]"
"[867, 2125, 991, 2226]","[969, 468, 1090, 568]","[867, 468, 1090, 2226]"
"[1310, 2141, 1373, 2204]","[1854, 1863, 1898, 1990]","[1310, 1863, 1898, 2204]"
"[812, 1939, 856, 2066]","[233, 609, 291, 669]","[233, 609, 856, 2066]"
"[2570, 2018, 2638, 2084]","[3609, 1178, 3681, 1247]","[2570, 1178, 3681, 2084]"
"[2880, 1966, 2937, 2063]","[3298, 960, 3356, 1054]","[2880, 960, 3356, 2063]"
"[955, 1143, 1003, 1231]","[3619, 1389, 3672, 1523]","[955, 1143, 3672, 1523]"
"[3612, 1536, 3664, 1619]","[2101, 964, 2152, 1054]","[2101, 964, 3664, 1619]"
"[589, 549, 655, 611]","[2570, 1711, 2620, 1797]","[589, 549, 2620, 1797]"
"[3439, 1651, 3523, 1701]","[918, 699, 962, 822]","[918, 699, 3523, 1701]"
"[2104, 674, 2168, 738]","[1687, 584, 1749, 671]","[1687, 584, 2168, 738]"
"[1322, 962, 1370, 1047]","[299, 1720, 330, 1796]","[299, 962, 1370, 1796]"
"[907, 601, 949, 678]","[2269, 1984, 2313, 2119]","[907, 601, 2313, 2119]"
"[1333, 648, 1374, 768]","[2883, 1706, 2934, 1797]","[1333, 648, 2934, 1797]"
"[592, 649, 637, 723]","[228, 967, 274, 1052]","[228, 649, 637, 1052]"
"[2945, 864, 2982, 943]","[2259, 1898, 2321, 1963]","[2259, 864, 2982, 1963]"
"[1326, 800, 1384, 861]","[2882, 2085, 2950, 2153]","[1326, 800, 2950, 2153]"
"[1699, 747, 1744, 873]","[237, 820, 285, 943]","[237, 747, 1744, 943]"
"[3297, 671, 3355, 757]","[229, 714, 272, 801]","[229, 671, 3355, 801]"
"[958, 1534, 1001, 1620]","[1303, 879, 1365, 952]","[958, 879, 1365, 1620]"
"[3309, 817, 3363, 953]","[602, 743, 650, 873]","[602, 743, 3363, 953]"
"[2889, 1813, 2942, 1945]","[2578, 1818, 2627, 1948]","[2578, 1813, 2942, 1948]"
"[2110, 824, 2158, 943]","[2939, 949, 2987, 1044]","[2110, 824, 2987, 1044]"
"[2880, 2355, 2952, 2425]","[385, 1354, 445, 1418]","[385, 1354, 2952, 2425]"
"[1686, 2241, 1754, 2310]","[958, 1463, 1021, 1529]","[958, 1463, 1754, 2310]"
"[2449, 2365, 2523, 2434]","[967, 611, 1011, 737]","[967, 611, 2523, 2434]"
"[959, 400, 1021, 460]","[1739, 1170, 1802, 1273]","[959, 400, 1802, 1273]"
"[1908, 1885, 2021, 1970]","[864, 1962, 1013, 2044]","[864, 1885, 2021, 2044]"
"[292, 591, 400, 689]","[2632, 2007, 2741, 2101]","[292, 591, 2741, 2101]"
"[3681, 1174, 3810, 1250]","[2943, 1953, 3194, 2051]","[2943, 1174, 3810, 2051]"
"[3364, 981, 3496, 1024]","[1021, 1145, 1233, 1225]","[1021, 981, 3496, 1225]"
"[3676, 1413, 3843, 1497]","[3673, 1535, 3888, 1615]","[3673, 1413, 3888, 1615]"
"[2169, 962, 2365, 1043]","[655, 513, 765, 611]","[655, 513, 2365, 1043]"
"[2635, 1720, 2851, 1799]","[3446, 1416, 3529, 1637]","[2635, 1416, 3529, 1799]"
"[969, 722, 1080, 804]","[2167, 667, 2309, 752]","[969, 667, 2309, 804]"
"[1749, 558, 2076, 691]","[1381, 962, 1542, 1043]","[1381, 558, 2076, 1043]"
"[344, 1711, 563, 1808]","[969, 595, 1129, 678]","[344, 595, 1129, 1808]"
"[2320, 2016, 2466, 2096]","[1386, 667, 1527, 746]","[1386, 667, 2466, 2096]"
"[2946, 1718, 3150, 1798]","[658, 637, 883, 734]","[658, 637, 3150, 1798]"
"[291, 963, 504, 1043]","[2996, 850, 3211, 947]","[291, 850, 3211, 1043]"
"[2324, 1879, 2505, 1990]","[1385, 776, 1561, 880]","[1385, 776, 2505, 1990]"
"[2946, 2081, 3097, 2166]","[1748, 763, 1897, 847]","[1748, 763, 3097, 2166]"
"[293, 844, 442, 924]","[3366, 695, 3522, 741]","[293, 695, 3522, 924]"
"[292, 719, 501, 799]","[1023, 1533, 1232, 1616]","[292, 719, 1232, 1616]"
"[1389, 906, 1524, 931]","[3363, 845, 3525, 923]","[1389, 845, 3525, 931]"
"[656, 767, 834, 848]","[2947, 1838, 3061, 1924]","[656, 767, 3061, 1924]"
"[2638, 1842, 2753, 1921]","[2166, 843, 2310, 922]","[2166, 843, 2753, 1921]"
"[2991, 958, 3213, 1038]","[2948, 2343, 3072, 2440]","[2948, 958, 3213, 2440]"
"[444, 1341, 571, 1441]","[1747, 2230, 1859, 2328]","[444, 1341, 1859, 2328]"
"[1022, 1449, 1131, 1546]","[2636, 2351, 2762, 2448]","[1022, 1449, 2762, 2448]"
"[1022, 635, 1195, 716]","[1035, 391, 1150, 467]","[1022, 391, 1195, 716]"
"[956, 523, 1001, 611]","[3193, 1872, 3248, 1955]","[956, 523, 3248, 1955]"
"[3203, 1969, 3259, 2110]","[956, 933, 1005, 1017]","[956, 933, 3259, 2110]"
"[2877, 1870, 2933, 1956]","[396, 1081, 439, 1208]","[396, 1081, 2933, 1956]"
"[1737, 930, 1786, 1013]","[1736, 751, 1784, 832]","[1736, 751, 1786, 1013]"
"[967, 1037, 1012, 1165]","[1636, 1564, 1682, 1642]","[967, 1037, 1682, 1642]"
"[958, 753, 1005, 839]","[2893, 2198, 2942, 2338]","[958, 753, 2942, 2338]"
"[1738, 399, 1803, 461]","[1685, 1862, 1735, 1959]","[1685, 399, 1803, 1959]"
"[3194, 2174, 3264, 2242]","[1566, 872, 1646, 920]","[1566, 872, 3264, 2242]"
"[386, 1229, 432, 1307]","[1992, 2308, 2067, 2382]","[386, 1229, 2067, 2382]"
"[958, 1280, 1002, 1358]","[1694, 1968, 1748, 2105]","[958, 1280, 1748, 2105]"
"[1633, 1395, 1680, 1459]","[1750, 611, 1797, 737]","[1633, 611, 1797, 1459]"
"[1747, 1039, 1794, 1161]","[2881, 2111, 2950, 2179]","[1747, 1039, 2950, 2179]"
